Philip_Seymour_Hoffman;Jeff_Bridges;Steve_Buscemi
Ivana_Baquero;Maribel_Verdú;Sergi_López
Harrison_Ford;Sean_Young;M._Emmet_Walsh
Lubna_Azabal;Mélissa_Désormeaux-Poulin;Ahmad_Massad
Kelly_Macdonald;Shirley_Henderson;Ewen_Bremner
Robert_De_Niro;Meryl_Streep;John_Savage
Wilford_Brimley;Richard_Masur;David_Clennon
Claude_Rains;Jean_Arthur;Thomas_Mitchell
William_Holden;Sessue_Hayakawa;Jack_Hawkins
Alan_Rickman;Bruce_Willis;Reginald_VelJohnson
Matt_Damon;Donald_Glover;Benedict_Wong
Belén_Rueda;Lola_Dueñas;Tamar_Novas
Leonardo_DiCaprio;Tom_Hardy;Lukas_Haas
Wagner_Moura;Fernanda_Machado;André_Ramiro
Michael_Biehn;Brian_Thompson;Paul_Winfield
Mitsuo_Iwata;Takeshi_Kusao;Tesshô_Genda
Cary-Hiroyuki_Tagawa;Sarah_Roemer;Joan_Allen
Candice_Bergen;Amrish_Puri;John_Gielgud
Matt_Damon;Edgar_Ramírez;Albert_Finney
Ryan_O'Neal;Steven_Berkoff;Hardy_Krüger
Johnny_Depp;Tom_Berenger;Kevin_Dillon
Benedict_Cumberbatch;Rory_Kinnear;Allen_Leech
Steve_Buscemi;John_Ratzenberger;James_Coburn
Leonardo_DiCaprio;Joseph_Sikora;Nellie_Sciutto
Quvenzhané_Wallis;Scoot_McNairy;Taran_Killam
Johnny_Depp;Orlando_Bloom;Jack_Davenport
Katharine_Ross;Ted_Cassidy;Kenneth_Mars
Marshall_Bell;Frances_Lee_McCain;Casey_Siemaszko
Robin_Wright;Carol_Kane;André_the_Giant
Billy_Crudup;Jamey_Sheridan;Brian_d'Arcy_James
Don_Cheadle;Sophie_Okonedo;Hakeem_Kae-Kazim
Bill_Murray;Chris_Elliott;Willie_Garson
Bradley_Cooper;Vin_Diesel;Djimon_Hounsou
Rosario_Dawson;Powers_Boothe;Jason_Douglas
Bruce_Willis;Haley_Joel_Osment;Olivia_Williams
David_Carradine;Vivica_A._Fox;Chiaki_Kuriyama
Margaret_Hamilton;Terry;Billie_Burke
Gary_Cooper;Lloyd_Bridges;Lon_Chaney_Jr.
